Netlist,LOFi1,LOFi2,LOFo1,LOFo2,PI,inFF1,inFF2
iRECEIVER_CTRL,4,16,1,2,17,0,5
n92,2,6,4,8,16,0,4
n91,4,12,2,4,13,4,0
n94,3,7,1,4,8,2,0
n93,3,7,1,4,15,2,0
iRECEIVER_state_2_,3,3,3,4,17,0,1
rec_dataH_rec[1],3,3,4,4,31,0,1
test_si,0,0,1,2,0,0,0
iXMIT_xmit_ShiftRegH_7_,3,3,4,4,4,0,1
iRECEIVER_bitCell_CTRL,4,10,1,1,21,2,3
rec_dataH_temp[2],3,6,2,2,20,0,3
test_so,0,0,0,0,0,0,0
test_se,0,0,58,83,0,0,0
\test_point/DOUT,3,4,8,15,3,1,0
iRECEIVER_state_1_,3,3,5,6,10,0,1
iXMIT_xmit_ShiftRegH_6_,3,3,3,3,4,0,1
iRECEIVER_rec_datH,3,3,4,4,3,0,2
rec_dataH_temp[1],3,6,2,2,20,0,3
rec_dataH_rec[0],0,0,0,0,0,0,0
rec_dataH[0],3,3,1,1,8,0,2
iXMIT_next_state_1_,2,6,1,2,10,0,3
iRECEIVER_state_0_,3,3,5,18,11,0,1
rec_dataH_rec[3],3,3,4,4,23,0,1
rec_dataH_temp[0],3,6,2,2,20,0,3
iXMIT_CRTL,4,12,1,2,1,0,7
iXMIT_next_state_2_,1,4,1,2,8,0,1
rec_dataH_rec[2],3,3,4,4,27,0,1
iRECEIVER_recd_bitCntrH_0_,3,3,4,6,5,0,1
iXMIT_N28,2,5,2,3,12,0,2
iXMIT_N29,2,5,1,1,9,0,2
iXMIT_N26,2,6,2,3,13,1,1
iXMIT_N27,2,5,2,2,8,0,3
xmit_dataH[0],0,0,1,1,0,0,0
iXMIT_N24,2,5,2,3,15,1,2
iXMIT_N25,2,5,2,2,15,1,1
iXMIT_N23,2,6,1,2,15,2,0
iXMIT_bitCell_cntrH_0_,3,3,4,7,4,0,1
iRECEIVER_recd_bitCntrH_1_,3,3,5,8,10,0,1
test_mode,0,0,0,0,0,0,0
n214,1,4,1,2,15,0,1
rec_dataH_rec[5],3,3,4,4,15,0,1
n211,2,5,1,1,2,0,1
n217,1,4,1,2,21,0,1
iXMIT_next_state_0_,2,7,1,2,8,0,2
iRECEIVER_recd_bitCntrH_2_,3,3,3,3,6,0,1
rec_dataH_rec[4],3,3,4,4,19,0,1
1'b0,0,0,1,1,0,0,0
iXMIT_bitCell_cntrH_1_,3,3,4,7,8,0,1
1'b1,0,0,1,1,0,0,0
n202,3,8,1,2,2,1,1
uart_XMIT_dataH,3,8,0,0,4,1,4
n205,3,8,1,2,2,1,1
n208,3,8,1,2,2,1,1
xmit_dataH[2],0,0,1,1,0,0,0
iXMIT_N46,2,5,1,1,18,1,1
iXMIT_N44,2,6,1,1,18,2,0
iXMIT_N45,2,5,1,1,6,1,2
iRECEIVER_recd_bitCntrH_3_,3,3,4,6,17,0,1
\test_point/TM,0,0,1,1,0,0,0
iXMIT_bitCell_cntrH_2_,3,3,2,3,5,0,1
n115,3,6,2,7,3,2,0
iRECEIVER_next_state_0_,4,13,1,2,26,1,5
rec_dataH_rec[7],3,3,4,5,7,0,1
sys_clk,0,0,76,226,0,0,0
n239,3,3,6,15,10,0,1
n118,3,6,2,3,3,1,1
n119,3,5,1,4,4,1,0
n116,1,4,1,1,33,0,2
n238,3,3,7,22,17,0,1
n117,3,3,1,2,1,1,0
rec_readyH,3,3,2,10,20,0,1
xmit_dataH[1],0,0,1,1,0,0,0
n220,1,4,1,1,21,0,1
n100,1,4,1,2,15,0,1
iRECEIVER_next_state_1_,4,8,1,2,8,1,4
n103,1,4,1,1,10,0,1
rec_dataH_rec[6],3,3,4,4,11,0,1
iXMIT_bitCell_cntrH_3_,3,3,3,6,14,0,1
n223,1,4,1,2,18,0,2
n106,1,4,1,2,24,0,2
n109,1,4,1,1,11,0,1
xmit_dataH[4],0,0,1,1,0,0,0
rec_dataH[6],3,3,1,1,15,0,2
iRECEIVER_bitCell_cntrH_2_,3,3,3,6,5,0,1
n260,3,3,1,1,4,0,1
n10,4,10,1,1,9,1,6
n261,3,3,1,1,4,0,1
n140,3,4,1,4,22,1,0
n12,4,10,1,1,10,1,5
n11,4,11,1,1,23,2,4
n253,3,3,1,1,17,0,1
n132,3,6,1,2,21,2,0
n254,3,3,2,6,14,0,1
n133,3,4,1,4,30,1,0
n130,1,4,1,1,25,0,2
n251,3,3,3,4,13,0,1
n252,3,3,1,1,5,0,1
n15,3,9,1,4,11,3,0
n131,3,6,1,1,9,2,0
n257,3,3,2,2,4,0,1
n18,1,2,9,9,19,0,2
n136,3,4,1,4,26,1,0
iRECEIVER_next_state_2_,2,3,2,3,15,0,2
n137,1,4,1,1,21,0,2
n258,3,3,1,1,4,0,1
n17,4,9,1,1,32,2,2
n255,3,3,3,6,2,0,0
n134,3,6,1,1,11,2,0
n256,3,3,1,2,5,0,1
n19,4,9,1,1,28,2,2
n135,3,6,1,2,21,2,0
n259,3,3,1,1,4,0,1
n138,3,6,1,1,13,2,0
iXMIT_bitCountH_0_,3,3,5,6,17,0,1
n139,3,6,1,2,21,2,0
xmit_dataH[3],0,0,1,1,0,0,0
iXMIT_state_2_,3,3,6,9,10,0,1
rec_dataH[5],3,3,1,1,18,0,2
n21,4,9,1,1,20,2,2
n370,2,0,1,1,1,0,0
iRECEIVER_bitCell_cntrH_1_,3,3,5,9,6,0,1
n250,3,3,2,3,16,0,1
n20,4,9,1,1,24,2,2
n371,1,2,1,8,2,0,0
n23,4,9,1,1,12,2,2
iRECEIVER_state_CTRL,4,11,1,1,16,3,0
n22,4,9,1,1,16,2,2
n242,3,3,5,8,10,0,1
n25,4,9,1,1,4,2,2
n121,3,5,1,3,4,1,0
n243,3,3,2,2,22,0,1
n24,4,9,1,1,8,2,2
n122,3,4,2,5,5,1,0
n27,4,6,1,1,1,1,0
n241,3,3,5,7,10,0,1
n26,1,3,8,8,12,0,2
iXMIT_xmit_CTRL,4,11,1,1,5,3,1
n120,3,5,2,6,3,1,1
n246,3,3,5,11,5,0,1
n29,2,4,8,8,12,0,2
n125,3,4,2,6,4,1,0
n247,3,3,2,2,5,0,1
n28,1,3,9,19,7,0,2
n126,3,4,1,4,5,1,0
n123,1,4,1,1,29,0,2
n244,3,3,1,2,5,0,1
n245,3,3,4,9,10,0,1
n124,3,4,1,5,5,1,0
n129,3,4,1,3,34,1,0
n248,3,3,3,3,4,0,2
n127,3,6,1,1,7,2,0
n249,3,3,2,3,11,0,1
n128,3,6,1,2,21,2,0
iRECEIVER_N28,2,5,2,2,23,1,1
iRECEIVER_N27,2,5,2,2,23,1,2
iRECEIVER_N26,2,6,2,2,23,2,0
xmit_dataH[6],0,0,1,1,0,0,0
iRECEIVER_N23,2,4,2,3,9,0,1
iRECEIVER_N22,2,4,2,3,10,0,1
iRECEIVER_N21,2,4,2,3,6,0,2
iRECEIVER_N20,2,5,2,3,2,1,0
n161,3,2,2,7,1,0,1
n31,4,6,1,1,1,1,0
n162,3,7,2,9,9,1,1
n281,3,3,1,2,4,0,1
n33,4,6,1,1,1,1,0
n160,3,5,2,6,4,1,0
n275,2,5,1,2,12,1,2
n154,3,4,1,4,6,1,0
n35,4,6,1,1,1,1,0
n155,3,6,1,2,19,1,2
n273,2,5,1,2,8,1,2
n152,3,6,1,1,10,2,0
n37,4,6,1,1,1,1,0
n274,2,6,2,3,11,2,0
n153,3,6,1,1,8,2,0
n158,1,4,1,1,9,0,2
n39,4,6,1,1,1,1,0
n159,3,5,2,5,4,1,0
n156,3,5,2,10,16,1,0
n157,3,5,2,4,4,1,0
iXMIT_bitCountH_2_,3,3,3,4,17,0,1
iRECEIVER_N19,2,5,2,3,13,1,1
xmit_dataH[5],0,0,1,1,0,0,0
iRECEIVER_N18,2,5,2,3,20,1,2
iRECEIVER_N17,2,6,2,3,16,2,0
n41,4,6,1,1,1,1,0
iRECEIVER_bitCell_cntrH_3_,3,3,3,5,12,0,1
n43,2,1,1,1,1,0,0
n271,2,5,1,1,19,1,2
n150,3,4,1,4,10,1,0
rec_dataH[7],3,3,1,1,11,0,2
iRECEIVER_rec_readyInH,3,9,1,1,18,2,3
n151,1,4,1,1,13,0,2
n42,3,8,1,1,5,1,2
n272,2,6,2,3,7,2,0
n45,4,9,1,1,14,1,1
n44,3,7,4,18,11,2,0
n270,2,6,2,2,18,2,0
n47,2,3,5,8,8,0,0
n143,3,4,1,4,18,1,0
n144,1,4,1,1,17,0,2
n46,2,3,4,4,13,0,0
n262,3,3,1,1,4,0,1
n49,4,9,1,1,20,1,2
n141,3,6,1,1,15,2,0
n263,3,3,1,1,4,0,1
n48,4,9,1,1,20,1,1
n142,3,6,1,2,20,2,0
n268,2,6,2,3,9,2,0
n147,3,4,1,4,14,1,0
n269,2,5,1,2,10,1,2
n148,3,6,1,1,14,2,0
n145,3,6,1,1,17,2,0
n146,3,6,1,2,16,2,0
iXMIT_bitCountH_1_,3,3,5,7,17,0,1
n149,3,6,1,2,12,2,0
n2,3,9,1,0,6,2,3
rec_dataH_rec_0_temp,3,3,3,3,35,0,1
n3,3,9,1,1,5,3,0
rec_dataH_temp[7],3,6,1,1,9,0,3
rec_dataH[2],3,3,1,1,12,0,2
xmit_doneH_temp,3,3,2,1,6,0,1
n50,4,10,1,1,17,2,0
n7,4,10,1,1,14,1,5
n180,3,5,2,5,4,1,0
n8,2,6,13,21,18,2,0
n52,1,2,1,5,7,0,2
n9,3,9,4,4,18,2,3
n51,1,3,1,4,12,0,2
n54,2,6,4,4,6,2,0
iRECEIVER_N_CTRL_1_,4,8,1,1,24,0,4
n53,2,6,2,6,8,0,5
n56,3,8,1,1,11,2,1
n55,3,7,2,2,11,2,0
n58,1,0,1,2,1,0,0
n176,3,4,2,6,4,1,0
iXMIT_xmit_ShiftRegH_3_,3,3,2,3,4,0,1
n57,2,6,4,6,15,1,3
n177,3,5,2,8,4,1,0
n174,3,4,2,5,4,1,0
n175,3,4,1,5,4,1,0
n178,3,4,2,11,9,1,0
n179,3,5,2,11,9,1,0
iXMIT_N_CTRL_2_,4,8,1,1,13,0,2
iRECEIVER_rec_datSyncH,3,3,2,3,2,0,1
rec_dataH_temp[6],3,6,2,2,13,0,3
xmitH,0,0,2,2,0,0,0
xmit_dataH[7],0,0,1,1,0,0,0
rec_dataH[1],3,3,1,1,10,0,2
n61,2,6,3,5,7,1,3
n60,4,9,1,1,7,1,4
n63,3,6,1,1,11,1,2
n62,2,5,3,3,11,1,1
n65,1,2,2,2,8,0,1
n172,3,5,1,4,3,1,0
n64,3,6,1,9,6,2,0
n173,3,4,2,4,16,1,0
n67,4,10,1,1,7,2,2
n170,3,6,2,4,3,1,1
iXMIT_xmit_ShiftRegH_1_,3,3,2,3,4,0,1
n66,2,6,3,3,6,2,0
iRECEIVER_N_CTRL_2_,4,8,1,1,11,0,2
n171,3,6,2,4,3,1,1
iXMIT_xmit_ShiftRegH_2_,3,3,2,3,4,0,1
n165,1,4,1,1,5,0,2
n69,4,12,1,2,18,4,0
n68,3,6,1,1,7,0,4
n166,3,6,2,3,3,1,1
n163,3,7,2,10,9,1,1
iCTRL,2,8,2,1,2,0,0
n164,3,5,1,2,5,1,0
n169,3,6,2,3,3,1,1
n167,3,6,2,3,3,1,1
uart_REC_dataH,0,0,1,1,0,0,0
n168,3,6,2,3,3,1,1
iXMIT_bitCountH_3_,3,3,3,4,17,0,1
sys_rst_l,0,0,83,233,0,0,0
rec_dataH_temp[5],3,6,2,2,17,0,3
iXMIT_xmit_doneInH,2,6,1,1,12,0,4
n72,1,2,1,4,12,0,1
n71,3,8,4,7,11,1,0
rec_dataH[4],3,3,1,1,16,0,2
n74,1,2,1,1,16,0,1
iXMIT_state_1_,2,5,1,0,3,2,0
n73,4,6,1,4,7,0,4
n75,3,9,2,7,6,3,0
iRECEIVER_bitCell_cntrH_0_,3,3,4,7,2,0,0
n77,3,9,1,1,11,3,0
n199,3,8,1,2,2,1,1
n79,1,4,2,3,14,0,4
n196,3,8,1,2,2,1,1
iXMIT_xmit_ShiftRegH_5_,3,3,3,4,4,0,1
rec_dataH_temp[4],3,6,2,2,20,0,3
n81,2,6,1,1,14,1,2
n80,2,6,3,5,22,2,0
n190,3,8,1,2,2,1,1
n83,2,6,2,2,26,0,6
rec_dataH[3],3,3,1,1,14,0,2
n82,3,9,1,1,11,3,0
n85,4,12,2,3,6,4,0
iXMIT_state_0_,3,3,5,8,10,0,1
n84,3,10,1,1,11,2,4
iXMIT_state_1_temp,3,3,3,4,12,0,1
n87,4,10,1,1,8,3,0
n86,4,10,1,1,14,2,4
n89,2,6,1,1,7,2,0
n193,3,8,1,2,2,1,1
n88,1,4,2,2,7,0,4
iXMIT_xmit_ShiftRegH_4_,3,3,2,3,4,0,1
xmit_doneH,2,5,0,0,3,2,0
iXMIT_N_CTRL_1_,4,12,1,1,14,4,0
rec_dataH_temp[3],3,6,2,2,20,0,3
